ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
A1,Done,High,Scaffold & serve,deno.json + version.ts,"Create desktop-app/deno.json with imports (zod npm:^3.25, std/path jsr:^1, drizzle-orm npm:^0.44 over runtime built-in node:sqlite for the local SQLite file), the desktop block (name 'Command Centre', identifier com.commandcentre.app, icons ../design/app.ico, backend cef, output ../dist/CommandCentre) and the full task set (dev/build/clean/make-icon/build:grammar/build:learn/build:inputs/build:dir/build:msi/build:installer/test/release plus db:migrate running db/migrations/ against the app-data SQLite file). Create version.ts with APP_NAME + APP_VERSION.",desktop-app/deno.json; desktop-app/version.ts,,deno task dev starts without config errors; desktop block accepted by deno desktop; every task in plan §11 present plus db:migrate; drizzle-orm resolves (node:sqlite is runtime built-in, no native module — N-API breaks deno desktop); db:migrate on a fresh dir creates command-center.db with every table; build:dir/build:msi chain build:grammar+build:learn+build:inputs as prerequisites.,"Pin Deno 2.9.6. backend MUST be cef, never webview (blank window on Win11). --allow-net needed for hub/publish; --allow-run needed in test for shell spawning. Drizzle everywhere per stack.md: the desktop persists via drizzle over a local SQLite file (C1), website/API via drizzle-orm/d1 (H1/I1)."
A2,Done,High,Scaffold & serve,main.ts static server + window,"Implement main.ts: resolveWeb() probing cwd-relative then import.meta-relative static dirs; MIME map; serveStatic() with single URL-decode, rejection of any backslash and any '..' segment, extension whitelist; multi-page routing (index for /, the other five pages for /<name>.html and /<name>); setupWindow() adopting Deno.BrowserWindow with restored geometry and 300ms debounced persistence; registerBindings(win).",desktop-app/main.ts,A1,"Window opens; / serves index.html; each of the six pages serves with correct Content-Type; traversal paths (.., backslash, encoded variants) rejected 400/403; geometry restored across relaunch.",Port resolveWeb/serveStatic/setupWindow from C:/projects/compressy/desktop-app/main.ts. Never hardcode a port — Deno.serve uses DENO_SERVE_ADDRESS.
A3,Done,High,Scaffold & serve,static/index.html from design,"Create static/index.html from design/index.html: keep the full markup and UI semantics (command cards, variable panel, terminal block, tags, status), strip the demo <script> and DEFAULTS array, add the vendor/grammar/templates/app/alpine script tags in documented order, add the x-data component root.",desktop-app/static/index.html; design/index.html,A2,Page renders every design section; Alpine component mounts; no demo JS; no console errors on load.,"Demo script is preview-only; its UI semantics (selection, filters, footers, disabled states) are preserved, its fake data is not."
A4,Done,High,Scaffold & serve,static/styles.css from six designs,"Build static/styles.css: one :root token block copied verbatim from design/index.html:39-47, then per-page blocks ported from each design's inline <style>; keep the od-* layout primitives in an @layer od-layout exactly as declared; keep the 640px media queries and the prefers-reduced-motion guard.",desktop-app/static/styles.css; design/index.html; design/command.html; design/add.html; design/learn.html; design/hub.html; design/publish.html,A3,Token values identical to design/index.html :root; all six pages render with correct layout; od-* primitives resolve; responsive and reduced-motion rules intact.,"Five of six pages depend on the od-* primitives, so they must not be dropped in the trim."
A5,Done,High,Scaffold & serve,"Vendor Alpine, Mustache, icons","Download pinned Alpine 3.x and Mustache 4.2.0 into static/vendor/ (no CDN at runtime). Copy design/icons/{powershell,bash,ubuntu}.svg into static/icons/ so the shell picker can serve them from the embedded root.",desktop-app/static/vendor/alpine.min.js; desktop-app/static/vendor/mustache.min.js; desktop-app/static/icons/powershell.svg; desktop-app/static/icons/bash.svg; desktop-app/static/icons/ubuntu.svg,A4,Vendor files present at pinned versions and served with 200; all three shell icons resolve from /icons/ in the window.,"The app can only serve from its embedded root, so design/icons/ must be copied into static/icons/."
A6,Done,High,Scaffold & serve,Vendor the input layer,"Build enhanced-inputs (node enhanced-inputs/build.mjs), copy dist/index.js and dist/themes/default.css into static/vendor/, author the token-remap layer mapping --input-*/--primary onto the design's :root tokens, and vendor range-slider-element. Wire all of it into the build:inputs precondition of build:dir/build:msi via scripts/vendor-inputs.ts.",desktop-app/static/vendor/e-input.js; desktop-app/static/vendor/enhanced-inputs.css; desktop-app/static/vendor/range-slider.js; desktop-app/scripts/vendor-inputs.ts,A5,"An <e-input type=""text""> upgrades and is styled in a real window; <range-slider> is registered (type=range renders a live slider); a clean clone + deno task build:dir produces all static/vendor inputs without manual steps.","range-slider-element is declared by the library but NEVER imported in src/ — without vendoring it all 9 range tokens render inert. dist/ is gitignored, so this must be a build step, not a one-off copy."
A7,Done,High,Scaffold & serve,make-icon.ts + design/app.ico,"Author scripts/make-icon.ts emitting a PNG-in-ICO from a new design/icon.png, and generate design/app.ico. Required because --icon points at a file that does not exist today.",desktop-app/scripts/make-icon.ts; design/app.ico; design/icon.png,A1,design/app.ico exists and is a valid ICO; deno task build:dir succeeds (no missing-icon error); the icon shows on the built exe and installed shortcut.,CERTAIN blocker for build:dir and build:msi until this exists.
A9,Done,High,Scaffold & serve,static/command.html from design,"Create static/command.html from design/command.html: keep the raw template view, rendered preview with labelled chips, dl fields, metadata table with per-option tables and the export/publish affordances; strip the demo <script> and seed data; add the shared script tags in documented order and the x-data detail root.",desktop-app/static/command.html; design/command.html,A3,Page renders every design section with no demo JS; the detail component mounts for a known ?id= (behaviour in E3).,"Fix the design defect in the port: #missing is never unhidden — an unknown ?id= must render a real not-found state, never the showcase fallback."
A10,Done,High,Scaffold & serve,static/add.html from design,"Create static/add.html from design/add.html: keep the form fields (name, cmd, desc, cwd, preview, ask mode) plus a tag field (the design has none, but every command needs one); keep the CodeMirror mount with the textarea fallback; strip the demo <script>; add the shared script tags and the x-data author root.",desktop-app/static/add.html; design/add.html,A3,"Form, editor mount, preview pane and variable metadata editors render; no demo JS; the CodeMirror module slot is present (wired in E4).",Vendor the six CM6 packages locally — the design's esm.sh importmap breaks offline.
A11,Done,High,Scaffold & serve,static/learn.html from design,Create static/learn.html from design/learn.html: keep the text+widget filters and the reference table skeleton; strip the 30 hand-maintained rows (regenerated from registry.ts live table by build:learn in E5); add the shared script tags and the x-data learn root.,desktop-app/static/learn.html; design/learn.html,A3,"Filters render; the tbody is populated by build output only, never hand-edited.",The design ships 30 hand-maintained rows — generation removes the drift risk.
A12,Done,High,Scaffold & serve,static/hub.html from design,"Create static/hub.html from design/hub.html: keep the search palette, package rail, sort, paging, recents, install/add buttons and keyboard hints; strip the HUB demo array and the cliState install simulation; add the shared script tags and the x-data hub root.",desktop-app/static/hub.html; design/hub.html,A3,All hub sections render with no demo data; the component mounts and fills from hubList() (behaviour in F3).,The 25%-per-tick install simulation is not ported — hubInstall() probes for real (F1).
A13,Done,High,Scaffold & serve,static/publish.html from design,"Create static/publish.html from design/publish.html: keep the command select, metadata-file loader, reviewer fields and the inline success panel with its three links; strip the demo <script>; add the shared script tags and the x-data publish root.",desktop-app/static/publish.html; design/publish.html,A3,Form and success panel render; submit path is wired in F4; success shows the panel without redirecting (matches the design).,"Keep the design's field renames: command→cmd, description→desc, workingDirectory→cwd."
A8,Done,High,Scaffold & serve,Phase A smoke gate,"Smoke test the scaffold: deno task dev, window opens, all six pages render, static assets and vendored inputs load, no console errors.",desktop-app/**,A2;A3;A4;A5;A6;A7;A9;A10;A11;A12;A13,Window opens via deno desktop --hmr; DevTools shows no errors; all six pages plus styles/app.js/vendor scripts return 200; an <e-input> upgrades and is themed.,"Phase gate. If the window is blank, confirm backend is cef before debugging elsewhere."
B1,Done,High,Grammar,registry.ts — 30 live + 108 retired + 7 aliases,"Transcribe the type registry into registry.ts as the single source of truth: TypeRow = [name, widget, label, defaultParams?] with the 30-row CC_INPUT_TYPES from design/add.html (identical in index/command), plus the 108-row CC_RETIRED_TYPES as a read-tolerance table (same widget/label parsing, flagged retired:true, never offered in autocomplete), plus the 7 aliases from the ALIASES map and lookupType() checking live → retired → aliases.",desktop-app/registry.ts,A1,"Test asserts 30 live names with the widget histogram (select 7, text 5, file 3, number 2, date/color/password/radio/buttongroup/checkbox/switch/range/time/datetime/textarea/multiselect/keyvalue 1 each); 14 live rows carry built-in defaults; 108 retired names resolve with retired:true; all 7 aliases resolve to live targets; lookupType returns null for truly unknown names.",add.html's array form is authoritative (labels + defaults); identical arrays ship in index/command. hub.html defines no arrays — it references the shared lookup.
B2,Done,High,Grammar,"grammar.ts — parse, render, example","Implement grammar.ts: parseToken (the §1.2 regex + per-widget param parsing), parseVarInstances (occurrence keying with occ/iid/total), parseVars (deduped by key), renderCmd (occurrence key → base key → meta.example → leave raw), exampleFor (one merged implementation), rangeSpec (with the =default strip fix) and ccAutoGenerate (add.html's ladder verbatim).",desktop-app/grammar.ts; desktop-app/registry.ts,B1,"The three grammar positions parse to distinct fields (dot-suffix sets auto, colon sets default/params); rangeSpec('18-28=23') === {min:18,max:28,step:1}; a repeated token yields iids 'input.dir' and 'input.dir#2' with total 2; unknown input.* names pass through verbatim.","Single biggest defect to fix: rangeSpec ignores declared bounds whenever params contain '=default', which is EVERY demo range token."
B3,Done,High,Grammar,build-grammar.ts → static/grammar.js,"Author scripts/build-grammar.ts emitting static/grammar.js from the TS source (types stripped, exports kept) so the webview shares the exact parser, and add a staleness test asserting the emitted file's hash matches the source.",desktop-app/scripts/build-grammar.ts; desktop-app/static/grammar.js; desktop-app/tests/grammar_test.ts,B2,build:grammar regenerates the file; the staleness test fails when grammar.ts changes without regenerating; the browser sees identical parse results to Deno.,Generated artifact + hash guard is the only way to avoid grammar drift between the two runtimes.
B4,Done,High,Grammar,grammar_test.ts,"Write tests/grammar_test.ts covering §1.2 exhaustively: each position alone and combined, every colon-default form per type, occurrence keying, alias resolution (all 7), retired-name read-tolerance (stored commands using retired names still parse, flagged retired), unknown-token passthrough, rangeSpec, exampleFor across all 30 live types, and the legacy ':autogenerate' read-tolerance.",desktop-app/tests/grammar_test.ts,B2;B3,"All tests green; asserts the 30/108/7 registry shape; asserts a retired token (e.g. {{input.vcodec:h264}}) parses with retired:true; explicitly asserts {{input.text:autogenerate}} resolves to the literal default 'autogenerate' (the tolerance must not hijack a real default), and that legacy stored ':autogenerate' tokens still parse.",Phase gate — everything downstream depends on this parser being correct.
