Status,Severity,Title,Files,Description,Fix,Notes
Fixed,High,WSL working directories rejected with NotCapable permission error,desktop-app/shell.ts; desktop-app/runner.ts; desktop-app/tests/shell_test.ts; desktop-app/tests/runner_test.ts,"A command cwd inside WSL (e.g. \\wsl.localhost\Ubuntu\...) reached Deno fs and spawn paths that cannot scope UNC paths, failing with `NotCapable: Requires all access` instead of running. node also misattributes a missing cwd as ENOENT on the binary.","New resolveCwdForShell(): WSL paths never touch Deno fs or spawn cwd — Ubuntu runs get an explicit `cd '<wsl-path>' &&` prefix with a hidden `test -d` probe; \\host\distro\mnt\<drive> UNCs map back to drive paths for Windows shells; Linux-only paths in Windows shells are refused with a message naming the Ubuntu shell. Missing/unusable cwds now fail fast with actionable messages; residual UNC permission denials map to a clear permission message.","Covers drive-letter, UNC, absolute WSL and relative inputs; quoteWsl escapes embedded single quotes. Regression tests in shell_test.ts (translation) and runner_test.ts (rejection without spawning)."
Fixed,Medium,Console window flashes on every page load and subprocess spawn,desktop-app/shell.ts; desktop-app/bindings.ts; desktop-app/runner.ts,"Deno.Command on Windows always opens a visible console for console-subsystem binaries and offers no windowsHide option in Deno 2.9.x. The installed-shell probe (where.exe) ran through Deno.Command on every page init, so `deno task dev` constantly flashed auto open/close terminal windows; same flash on pickFolder/pickFile (powershell.exe) and cancelRun (taskkill).","Replaced all runtime spawns with node:child_process honoring windowsHide:true (CREATE_NO_WINDOW): spawnSync for quick probes (where.exe, taskkill) and async spawn for the PowerShell picker dialogs — the Compressy pattern (bindings.ts/vips.ts). explorer.exe deliberately keeps NO windowsHide (it would suppress Explorer's own window, probe-verified in Compressy).","Build scripts (scripts/*.ts) and tests still use Deno.Command — harmless in a terminal context. Regression rule: any new Deno.Command of a console binary in app runtime reintroduces flashing; use node:child_process + windowsHide instead. Upstream gap: denoland/deno#34627 (Deno.Command lacks windowsHide)."
Archived,High,Blank window on Windows with the webview backend,desktop-app/deno.json,"Webview backend shows a blank window on Win11 (denoland/deno#35645); WebView2 additionally sanitizes input[type=file] paths, hiding absolute paths from the app.","Pinned backend cef in deno.json and every desktop task; folder picking stays Deno-side (bindings.pickFolder via FolderBrowserDialog) for the same reason.","Switch back only after the upstream fix ships stable plus a smoke test."
Open,High,"Event prefix split-brain: standalone input-* tags emit input:* while <e-input> emits e:*",enhanced-inputs/src/inputs/e-input-text-base.js; enhanced-inputs/src/inputs/e-input-number-base.js; enhanced-inputs/src/inputs/e-input-radio-base.js; enhanced-inputs/src/inputs/e-input-checkbox.js,"A listener written for one prefix is silently deaf to the other; the single highest-impact open defect in the library audit sheet.","App uses <e-input type=...> exclusively and subscribes to e:* only; never bundles or references the input-* tags. registry.ts widgetToEInput bridges the 30-token grammar to the element types.","Upstream: enhanced-inputs/sheets/report.csv (event-prefix rows); library fix tracked as EI2."
Open,Medium,"Combobox/select dropdowns missing ARIA relationships",enhanced-inputs/src/inputs/e-input.js,"No aria-activedescendant, aria-controls or aria-multiselectable on the select/combobox/radio/checkbox-group listboxes; unassociated for screen readers.","Accepted for v1; keyboard operation still works. Logged here per plan section 4.14.","Upstream: enhanced-inputs/sheets/report.csv rows L44/L45/L46; library fix tracked as EI4."
Open,Low,Undeclared wc-datepicker dependency for the date picker,enhanced-inputs/package.json; enhanced-inputs/src/inputs/e-input.js,"Demos load <wc-datepicker> from a CDN but it is in neither package.json nor src/ imports; the picker slot is inert.","Ship without the picker; the native date input works via the _getInputType mapping. No app code depends on the picker.","Adopting it would break offline; dependency would need vendoring like range-slider-element."
Open,Medium,Unstyled shadow mode renders unreachable elements,enhanced-inputs/src/inputs/e-input-base.js,"createRenderRoot attaches a shadow root when the shadow attribute is set, but no shadow-scoped styles and no part hooks exist anywhere in the library; the element renders completely unstyled and unreachable by theme CSS.","Never set the shadow attribute; light DOM only.","Styling contract is .i-* classes plus --input-* tokens (default.css vendored into static/vendor/)."
Open,Low,Readme documents .e-* classes that do not exist,enhanced-inputs/readme.md,"Documented .e-wrapper/.e-label/.e-input/.e-description/.e-error classes have zero matches in src/, themes or demos; the e- names come from generated element IDs (_generateIds), not CSS.","Style .i-* classes only; never trust the readme CSS section.","Same rewrite should fix the zero-dependencies claim, the zod-mini claim, the components/e-input.js subpath and the aspirational WCAG claim. Tracked as EI5."
Open,Medium,internals.setValidity anchor TypeError on invalid fields,enhanced-inputs/src/inputs/e-input.js,"The invalid branch calls internals.setValidity with a non-HTMLElement anchor, throwing TypeError and rejecting validate(); verified in Chrome via Playwright on an empty required text field.","App disables automatic validation (validate-on empty), validates explicitly through safeValidate() with caught rejections, and filters that exact rejection message in an unhandledrejection handler. Console stays clean.","Discovered during E7 verification; candidate for the library audit sheet."
Open,Low,e:validate fires before validity is computed,enhanced-inputs/src/inputs/e-input.js,"Async validate() dispatches e:validate first, so detail.valid is stale at dispatch time; verified: an empty required field reports valid true in the event while el.valid ends false.","App re-reads element state (quickCheck for gating) instead of trusting detail.valid; e:success/e:error are observed as well.","Discovered during E7 verification."
