Status,Severity,Title,Type,File,Description,Suggested fix
Fixed,High,Null crash in _onCountryChange when country not found,Defect,src/inputs/e-input.js:1112,this.countries.find() returns undefined for invalid country codes causing TypeError on c.dial,Add null check: if (!c) return;
Fixed,High,Null crash in _onCountryChange when phoneInput not rendered,Defect,src/inputs/e-input.js:1114-1120,this.renderRoot.querySelector('.i-input') returns null causing MaskInput(null) crash,Guard with if (!phoneInput) return;
Fixed,High,Falsy-coalescing drops empty-string option values,Defect,src/inputs/e-input.js:468-471,opt.value || opt.label treats value="" as falsy falling through to label,Use opt.value !== undefined && opt.value !== null ? opt.value : opt.label
Fixed,High,Empty error array causes TypeError in _renderError,Defect,src/inputs/e-input.js:687-688,JSON.parse("[]") produces empty array then errors[0].message throws,Guard with if (errors.length === 0) return ''
Fixed,High,validate() crashes when value is null,Defect,src/inputs/e-input.js:1437-1438,this.value.startsWith() throws TypeError if value is null,Guard with this.value?.startsWith() or (this.value || '')
Fixed,High,Phone input aria-labelledby references non-existent ID,Accessibility,src/inputs/e-input.js:813,this.ids.label is used as aria-labelledby target but never set as id on any element,Add id="${this.ids.label}" to the label element in _renderPhone
Fixed,High,setValidState never calls internals.setValidity,Defect,src/inputs/e-input-base.js:97-114,Form checkValidity() always reports valid even when valid=false because setValidity() is never called,Call this.internals.setValidity(valid ? {} : { customError: true }, this.error, this._inputElement)
Fixed,High,Empty string coerces to 0 and passes required number validation,Defect,src/inputs/e-input.js:1344-1345,z.coerce.number() turns "" into 0 and refine only checks NaN,Add .refine(n => n !== 0 || this.value !== '', ...) or check empty before coerce
Fixed,High,_collectOptions fails in shadow DOM,Defect,src/inputs/e-input.js:468-482,this.querySelectorAll() does not pierce shadow DOM so slotted children are never found,Use this.renderRoot?.querySelectorAll() or this.children
Fixed,High,Individual component files have broken imports,Defect,src/inputs/*.js,All 16 individual component files import from './input-base.js' or './input-text-base.js' (no e- prefix) which don't exist,Fix import paths to use e- prefix: './e-input-base.js'
Fixed,High,Individual component files not exported from entry point,Inconsistency,src/index.js,Only e-input and e-input-options are exported; 16 individual components are dead code,Add re-exports for all individual components or remove them
Fixed,High,Duplicate option element registrations,Inconsistency,src/inputs/*.js,Both e-input-options.js and individual files register option elements with different tag names,Consolidate all option registrations in e-input-options.js only
Fixed,High,Event prefix inconsistency between base and individual components,Inconsistency,src/inputs/*.js,Base dispatches e:input/e:change but individual components dispatch input:input/input:change,Unify all event prefixes to e:
Fixed,High,Icon-only action buttons lack aria-label,Accessibility,src/inputs/e-input.js:694-714,All action buttons (copy/clear/show/color/date-picker) rely only on title attribute which isn't reliably announced,Add aria-label to all action buttons
Fixed,High,Radio/checkbox-group inputs lack aria-required and error association,Accessibility,src/inputs/e-input.js:998-1023,Individual radio/checkbox inputs don't have aria-required and don't reference error IDs,Add aria-required and aria-describedby with error ID
Fixed,High,Country list hardcoded in source bundle,Performance,src/inputs/e-input.js:9-252,250-entry country list (~15KB) is inlined and bundled unconditionally even for non-phone types,Lazy-load country data or tree-shake when type !== 'phone'
Fixed,High,Virtual scrolling only grows virtualEnd never increases virtualStart,Performance,src/inputs/e-input.js:1241-1246,DOM grows unbounded as user scrolls because virtualStart stays at 0,Implement proper virtual scrolling with both start/end window
Fixed,High,requestUpdate on every combobox keystroke,Performance,src/inputs/e-input.js:1230,Full re-render triggered on every keystroke in combobox search,Use requestAnimationFrame or debounce requestUpdate
Fixed,High,User-supplied regex passed to new RegExp without validation,Security,src/inputs/e-input.js:1339,ReDoS risk from user-supplied regex attribute passed directly to new RegExp,Add regex validation or wrap in try/catch with timeout
Fixed,High,No TypeScript definitions or JSDoc on public methods,DX,src/,No .d.ts files and no JSDoc on any public method or property,Add TypeScript definitions or comprehensive JSDoc
Fixed,High,README is internal spec not user-facing documentation,DX,readme.md,README contains 996 lines of internal spec content not user-facing docs,Rewrite README as user-facing documentation with examples
